sample	samples	NTN1	NTN3	NTN4	NTN5	NTNG1	NTNG2	DSCAM	DCC	UNC5A	UNC5B	UNC5C	UNC5D	cancer type abbreviation	sample_type
TCGA-DX-A48L-01	TCGA-DX-A48L-01	15.27	3.72	7.91	1.52	0	3	2.1	0	4.46	9.38	0.55	0.95	SARC	Primary Tumor
TCGA-DX-AB2H-01	TCGA-DX-AB2H-01	14.98	3.9	7.36	4.14	1.88	5.39	0.62	0	2.67	11.33	1.88	1.66	SARC	Primary Tumor
TCGA-DU-6404-02	TCGA-DU-6404-02	14.29	4.97	10	3	8.38	11.47	6.62	7.72	9.18	13.13	5.34	8.11	LGG	Recurrent Tumor
TCGA-DX-A2IZ-01	TCGA-DX-A2IZ-01	14.29	3.15	8.96	4.95	4.37	10.36	2.68	1.31	3.93	8.85	1.31	6.72	SARC	Primary Tumor
TCGA-DX-A48R-01	TCGA-DX-A48R-01	14.15	3.52	6.84	0	7.71	1.82	4.48	0	5.2	5.15	6.92	0	SARC	Primary Tumor
TCGA-3B-A9HR-01	TCGA-3B-A9HR-01	13.95	2.25	8.09	1.32	1.32	1.53	3.15	0	2.65	9.38	6.7	0	SARC	Primary Tumor
TCGA-PC-A5DN-01	TCGA-PC-A5DN-01	13.8	4.1	9.46	4.17	5.3	5.28	4.1	7.59	3.21	11.63	5.43	2.64	SARC	Primary Tumor
TCGA-S9-A6WN-01	TCGA-S9-A6WN-01	13.73	4.39	5.63	2.85	7.19	8.46	8.73	1.54	8.86	11.44	2.64	1.28	LGG	Primary Tumor
TCGA-ZB-A969-01	TCGA-ZB-A969-01	13.71	2.94	10.51	5.05	6.67	5.16	2.25	0.37	1.85	10.9	3.14	5.72	THYM	Primary Tumor
TCGA-CQ-6221-01	TCGA-CQ-6221-01	13.7	2.44	9.96	3.79	10.26	4.62	1.57	2.57	6.67	10.94	6.12	0	HNSC	Primary Tumor
TCGA-DX-A7ER-01	TCGA-DX-A7ER-01	13.46	3.8	5.02	4.71	2.95	11.57	0	1.42	8.3	11.71	1.09	1.09	SARC	Primary Tumor
TCGA-09-0369-01	TCGA-09-0369-01	13.4	4.75	7.29	3.91	4.32	1.84	1.48	1.59	9	13.57	6.16	0.52	OV	Primary Tumor
TCGA-IE-A4EH-01	TCGA-IE-A4EH-01	13.34	1.01	6.29	1.6	6.26	3.27	0.59	0	3.02	8.42	4.06	8.79	SARC	Primary Tumor
TCGA-S9-A89V-01	TCGA-S9-A89V-01	13.33	4.99	13.19	4.44	9.21	7.94	11.09	9.04	8.94	10.55	9.15	6.6	LGG	Primary Tumor
TCGA-BR-8371-01	TCGA-BR-8371-01	13.32	0.82	10.39	2.88	4.83	5.26	0.76	-0.02	1.79	7.88	2.99	-0.39	STAD	Primary Tumor
TCGA-L5-A4OQ-11	TCGA-L5-A4OQ-11	13.31	1.16	10.53	2.27	7.54	5.68	1.71	0.89	3.11	8.56	6.16	1.36	ESCA	Solid Tissue Normal
TCGA-B5-A0K4-01	TCGA-B5-A0K4-01	13.3	2.71	8.06	3.12	0.93	5.03			2.93	12.09	1.28	-0.5	UCEC	Primary Tumor
TCGA-KO-8414-01	TCGA-KO-8414-01	13.28	1.39	10.88	4.84	0.86	2.83	0.86	0.86	4.27	10.13	2.65	2.65	KICH	Primary Tumor
TCGA-A3-3328-01	TCGA-A3-3328-01	13.27	2.97	11.2	2.14	1.16	1.52	0.7	0	3.87	9.12	2.04	12.71	KIRC	Primary Tumor
TCGA-DU-6404-01	TCGA-DU-6404-01	13.26	5.8	10.2	2.7	9.1	11.63	7.52	10.07	8.91	13.23	6.21	9.15	LGG	Primary Tumor
TCGA-3B-A9HS-01	TCGA-3B-A9HS-01	13.25	4.25	10.47	2.84	2.91	5.06	0.47	2.76	6.83	9.08	6.56	1.88	SARC	Primary Tumor
TCGA-34-5929-01	TCGA-34-5929-01	13.24	4.42	11.21	1	2.81	4.24	0.49	1	3.07	8.22	3.04	0.26	LUSC	Primary Tumor
TCGA-IG-A3I8-11	TCGA-IG-A3I8-11	13.23	1.73	10.68	2.54	5.93	6.12	3.37	2.01	1.4	8.04	3.77	3.85	ESCA	Solid Tissue Normal
TCGA-XU-A92Z-01	TCGA-XU-A92Z-01	13.13	0	7.59	4.92	7.38	4.84	0	1.43	3.25	12.57	9.59	8.91	THYM	Primary Tumor
